,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARACAJÚ,BELÉM,BELO HORIZONTE,BOA VISTA,BRASÍLIA,CAMPINAS,CAMPO GRANDE,CAXIAS DO SUL,CUIABÁ,CURITIBA,FEIRA DE SANTANA,FLORIANÓPOLIS,FORTALEZA,GOIÂNIA,JOÃO PESSOA,JOINVILLE,JUIZ DE FORA,LONDRINA,MACEIÓ,MANAUS,NATAL,PALMAS,PELOTAS,PORTO ALEGRE,PORTO VELHO,RECIFE,RIBEIRÃO PRETO,RIO BRANCO,RIO DE JANEIRO,SALVADOR,SANTOS,S.J.DOS CAMPOS,SÃO LUÍS,SÃO PAULO,TERESINA,UBERLÂNDIA,VITÓRIA
NOVO HAMBURGO,3259,3817,1675,5351,1990,1147,1521,94,2209,674,2937,487,4205,1810,3852,659,1588,1003,3535,4566,4029,2699,300,60,3665,3742,1305,4199,1516,3053,1144,1179,3854,1072,3767,1566,1964
OURINHOS,2435,2788,853,4477,980,369,647,943,1335,409,2114,716,3253,781,3028,546,867,161,2711,3692,3205,1643,1333,1070,2791,2918,350,3325,796,2230,443,464,2825,371,2757,611,1249
PARANAGUÁ,2629,3295,1031,4923,1420,510,1093,662,1781,90,2303,385,3575,1288,3222,217,948,489,2905,4138,3399,2126,1066,803,3237,3112,747,3771,881,2414,514,549,3422,442,3197,999,1334
PARNAÍBA,1469,1107,2658,6408,2060,3054,3267,4033,3266,3499,1403,3806,487,2342,1175,3626,2794,3216,1562,5623,1024,1767,4423,4160,4722,1287,2839,5256,2935,1519,3220,3167,501,3148,335,2568,2527
PASSO FUNDO,3153,3627,1562,5126,1800,1053,1296,226,1984,561,2827,537,4099,1621,3746,665,1472,789,3429,4341,3923,2535,591,304,3440,3636,1115,3974,1405,2943,1038,1073,3664,966,3577,1376,1858
PATOS DE MINAS,1671,2589,417,4412,549,711,1116,1698,1270,1164,1329,1471,2822,558,2243,1301,659,938,1926,3627,2420,1406,2088,1825,2726,2133,503,3260,840,1445,830,891,2694,758,2326,232,945
PAULO AFONSO,307,1835,1646,6068,1720,2256,2842,3237,2841,2659,391,2956,900,1917,553,2786,1786,2652,347,5283,730,1730,3627,3364,4297,443,2174,4831,1923,442,2308,2154,1448,2236,898,1935,1515
PELOTAS,3559,4117,1975,5611,2290,1440,1781,394,2469,974,3237,739,4505,2110,4152,903,1888,1303,3835,4826,4329,3126,,271,3925,4042,1605,4459,1816,3353,1444,1479,4154,1372,4067,1866,2264
PETROLINA,490,1589,1650,5898,1550,2260,2672,3241,2671,2663,395,2966,868,1747,875,2790,1786,2706,723,5113,923,1473,3631,3368,4127,770,2178,4661,1927,513,2318,2158,1088,2246,652,1940,1519
PETRÓPOLIS,1797,3192,376,5101,1090,545,1478,1460,1959,886,1475,1183,2747,1280,2390,1008,126,992,2073,4316,2567,2066,1850,1587,3415,2280,759,3949,66,1591,535,377,2957,463,2523,896,502
PICOS,820,1267,1980,6010,1662,2590,2784,3567,2783,2993,725,3290,546,1859,902,3120,2116,2816,914,5225,919,1585,3961,3698,4239,815,2508,4773,2257,841,2648,2488,766,2576,330,2084,1849
POÇOS DE CALDAS,2042,2839,451,4678,922,150,1050,1192,1530,618,1721,915,2993,842,2635,745,439,585,2318,3893,2812,1728,1582,1319,2968,2525,237,3520,504,1837,375,316,2876,270,2699,491,952
PONTA GROSSA,2696,3087,1105,4715,1260,513,885,648,1573,114,2366,421,3533,1113,3289,251,1055,273,2972,3930,3466,1939,1038,775,3029,3179,575,3563,949,2481,595,615,3124,523,3037,836,1401
PONTA PORÃ,3038,3346,1560,4165,1463,1119,335,1339,1023,958,2821,1265,3736,1264,3630,1095,1596,722,3313,3380,3807,2120,1608,1345,2479,3520,1017,3013,1614,2832,1189,1214,3383,1117,3240,1171,1995
PORTO ALEGRE,3296,3854,1712,5348,2027,1177,1518,150,2206,711,2974,476,4242,1847,3889,640,1625,1040,3572,4563,4066,2747,271,,3662,3779,1342,4196,1553,3090,1181,1216,3891,1109,3804,1603,2001
PORTO SEGURO,936,2636,952,5692,1482,1558,2409,2473,2550,1899,652,2196,1925,1859,1529,2026,1118,1958,1212,4907,1706,1849,2863,2600,4006,1419,1479,4540,1120,653,1553,1390,2135,1481,1699,1512,612
PORTO VELHO,4229,4397,3050,1686,2589,2979,2150,3669,1456,3135,3907,3442,4865,2390,4822,3272,3292,2759,4505,901,4999,3240,3925,3662,,4712,2759,544,3473,4023,3142,3145,4434,3070,4366,2504,3575
PRES. PRUDENTE,2478,2787,1001,4288,979,556,458,1073,1146,539,2157,846,3252,780,3071,676,1037,220,2754,3503,3248,1642,1463,1200,2602,2961,458,3136,1055,2273,630,655,2824,558,2756,612,1436
RECIFE,501,2074,2061,6483,2135,2665,3247,3652,3256,3078,805,3375,800,2332,120,3205,2201,3067,285,5698,297,2058,4042,3779,4712,,2589,5243,2338,839,2732,2569,1573,2660,1137,2349,1891
RIBEIRÃO PRETO,2106,2622,523,4445,706,238,930,1215,1303,681,1784,988,2978,615,2699,818,676,478,2382,3660,2876,1491,1605,1342,2759,2589,,3293,725,1900,391,408,2659,319,2483,281,1048
RIO BRANCO,4763,4931,3584,2230,3123,3513,2684,4203,1990,3669,4441,3976,5396,2924,5356,3806,3826,3293,5039,1445,5533,3764,4459,4196,544,5243,3293,,4007,4457,3673,3679,4968,3604,4900,3038,4109
RIO DE JANEIRO,1855,3250,434,5159,1148,511,1444,1426,2017,852,1533,1144,2805,1338,2448,974,184,953,2131,4374,2625,2124,1816,1553,3473,2338,725,4007,,1649,501,343,3015,429,2579,979,521
RIO VERDE,2165,2248,901,3841,440,842,747,1715,699,1181,1843,1488,2713,241,2758,1318,1143,879,2441,3056,2935,1091,2105,1842,2155,2648,610,2689,1324,1959,993,1014,2285,921,2217,355,1426
RONDONÓPOLIS,2562,2730,1383,3357,922,1325,483,2002,215,1468,2240,1775,3195,723,3155,1605,1625,1092,2833,2572,3331,1569,2258,1995,1671,3045,1092,2205,1806,2356,1475,1496,2767,1403,2699,837,1908
SALVADOR,356,2100,1372,5749,1446,1982,2568,2963,2567,2385,116,2682,1389,1643,949,2512,1512,2374,632,5009,1126,1454,3353,3090,4023,839,1900,4457,1649,,2034,1880,1599,1962,1163,1661,1202
SANTA MARIA,3446,3920,1855,5323,2093,1346,1493,292,2181,854,3120,810,4392,1913,4039,957,1765,1082,3722,4538,4216,2838,331,301,3637,3929,1408,4171,1673,3236,1331,1366,3957,1259,3870,1669,2151
S. DO LIVRAMENTO,3789,4261,2199,5664,2434,1687,1834,581,2522,1195,3461,963,4729,2254,4382,1127,2112,1423,4065,4879,4559,3124,357,495,3978,4272,1749,4512,2040,3577,1668,1703,4298,1596,4211,2010,2488
SANTOS,2249,3005,658,4828,1087,171,1086,1054,1686,480,1918,777,3199,998,2842,607,578,603,2525,4043,3019,1848,1444,1181,3142,2732,391,3676,501,2034,,169,3042,72,2864,662,954
SÃO CARLOS,2198,2695,619,4518,801,153,913,1167,1376,622,1880,929,3084,688,2791,759,629,448,2474,3733,2968,1528,1546,1283,2832,2681,116,3366,656,1996,316,319,2732,244,2578,382,1147
S. JOSÉ DO R. PRETO,2294,2518,712,4341,710,366,733,1221,1199,687,1973,994,2983,511,2887,824,842,385,2570,3556,3064,1361,1611,1348,2655,2777,189,3189,869,2089,529,528,2555,451,2487,343,1240
S. JOSÉ DOS CAMPOS,2086,3008,611,4833,1087,174,1107,1089,1689,515,1764,807,3036,1005,2679,637,415,621,2362,4046,2859,1879,1479,1216,3145,2569,408,3679,343,1880,169,,3049,97,2810,669,791
SÃO LUÍS,1578,806,2738,6120,2157,2879,2979,3764,2978,3230,1483,3537,1070,2054,1660,3367,2874,2928,1672,5335,1607,1386,4154,3891,4434,1573,2659,4968,3015,1599,3042,3049,,2970,446,2404,2607
SÃO LOURENÇO,1773,2921,333,4715,922,274,1115,1185,1605,634,1486,920,2768,917,2344,756,208,758,2021,3980,2504,1743,1542,1297,3100,2224,353,3469,244,1574,309,182,2919,276,2492,602,634
SÃO PAULO,2188,2933,586,4756,1015,99,1014,982,1614,408,1846,705,3127,926,2770,535,506,538,2453,3971,2947,1776,1372,1109,3070,2660,319,3604,429,1962,72,97,2970,,2792,590,882
STA. MARIA DA VITÓRIA,1120,,,,597,,,,,,778,,,806,,,,,,,,,,,,1620,,,,898,,,,,,,
SINOP,3274,3442,2095,3613,1634,2024,1195,2714,488,2180,2952,2487,3907,1435,3867,2371,2337,1804,3550,2828,4044,2285,2970,2707,1927,3757,1804,2461,2518,3068,2187,2190,3479,2115,3411,1549,2620
SOBRAL,1220,1333,2488,6438,2175,3084,3297,4063,3296,3529,1310,3836,238,2372,926,3666,2705,3246,1313,5653,775,1797,4453,4190,4752,1038,2869,5286,2842,1384,3250,3074,832,3178,374,2598,2434
SOROCABA,2260,2919,674,4767,998,85,937,972,1625,391,1929,688,3202,912,2853,518,618,451,2536,3982,3030,1772,1355,1092,3081,2743,324,3615,512,2045,159,180,2959,87,2775,574,957
TAUBATÉ,2049,3045,601,4870,1124,211,1144,1126,1726,552,1727,849,2999,1042,2642,674,378,658,2325,4085,2819,1936,1516,1253,3182,2532,445,3716,306,1843,206,43,3086,134,2775,706,754
TERESINA,1142,947,2302,6052,1789,2698,2911,3677,2910,3143,1047,3450,634,1986,1224,3280,2438,2860,1236,5267,1171,1401,4067,3804,4366,1137,2483,4900,2579,1163,2864,2810,446,2792,,2212,2171
TUBARÃO,3020,3614,1429,5256,1801,901,1426,452,2114,428,2694,144,3966,1621,3613,308,1349,814,3296,4471,3790,2464,601,338,3570,3503,1116,4104,1272,2810,905,635,3662,833,3578,1377,1725
TUCURUÍ,2251,350,2713,5966,2003,2725,2825,3610,2824,3076,2156,3383,1743,1900,2333,3213,2983,2774,2345,5181,2280,988,4000,3737,4280,2246,2505,4814,3139,2272,2888,2895,978,2816,1119,2250,3229
UBERABA,2075,2470,494,4293,537,394,992,1373,1151,839,1754,1146,2810,463,2668,976,736,656,2351,3508,2845,1097,1763,1500,2607,2558,178,3141,917,1870,559,566,2507,487,2314,113,1022
UBERLANDIA,2137,2367,556,4190,435,497,894,1476,1048,942,1816,1249,2707,360,2730,1079,798,716,2413,3405,2907,1210,1866,1603,2504,2620,281,3038,979,1932,662,669,2404,590,2212,,1081
URUGUAIANA,3718,4192,2127,5595,2365,1618,1765,720,2453,1126,3392,1102,4664,2185,4311,1230,2037,1354,3994,4810,4488,3110,604,634,3909,4201,1680,4443,1970,3508,1603,1638,4229,1531,4142,1941,2423
VALENÇA (BA),461,,,,1523,,,,,,194,,,1732,,,,,,,,,,,,944,,,,105,,,,,,,
VILHENA,3610,3693,2346,2390,1885,2275,1446,2965,752,2431,3288,2738,4158,1686,4203,2568,2588,2055,3886,1605,4380,2536,3221,2958,704,4093,2055,1238,2769,3404,2438,2441,3730,2366,3662,1800,2871
VITÓRIA,1408,3108,524,5261,1238,959,1892,1874,2119,1300,1124,1597,2397,1428,2001,1427,519,1406,1684,4476,2178,2214,2264,2001,3575,1891,1048,4109,521,1202,954,791,2607,882,2171,1081,
V. DA CONQUISTA,733,2394,849,5589,1048,1459,2306,2440,2362,1862,411,2159,1683,1756,1326,1989,989,1855,1009,4804,1503,1319,2828,3632,3903,1216,1376,4166,1126,487,1511,1357,1893,1439,1457,1130,948
VOLTA REDONDA,1868,3229,438,5054,1161,395,1328,1310,1901,736,1537,1033,2809,1226,2461,858,188,842,2144,4269,2638,2120,1700,1437,3357,2351,629,3891,112,1653,390,227,3019,318,2585,890,564
